Two-core

Primary,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,2,9,9,13,1,7,5,6,2,6,4,6,1,6,4,2
6,176,252,345,371,233,243,312,166,267,275,263,292,167,273,188,216
5,2324,2948,3331,3643,2516,3035,3378,2546,2723,3443,2817,3168,1987,2985,2101,2383
4,9110,10539,11496,12114,9398,10875,11875,9404,10033,12203,10295,11458,8438,10920,9067,9079
3,14392,15173,15923,15861,14138,15024,16242,14238,14576,16174,15370,15794,13499,15853,13970,13257
2,11897,11318,11108,10633,11675,11531,10843,11295,11624,10597,11415,11051,11494,11553,11734,11328
1,6615,5242,4237,3880,6290,5040,3935,6267,5848,3718,5285,4491,6613,4604,6836,6605
0,3438,2266,1126,1003,3697,1966,943,4040,2774,1117,2317,1349,5932,1465,4106,5215

Relay,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
6,1,4,6,5,6,12,0,4,2,5,1,6,8,4,4,3
5,204,189,236,245,201,280,187,228,174,229,170,265,186,175,146,129
4,2331,2436,2634,2689,2318,2727,2466,2485,2297,2513,2403,2772,2139,2394,2036,2014
3,9601,10754,11547,11642,9854,10945,11614,10006,10050,11637,11010,11816,9602,10987,9796,9119
2,17698,18754,19266,19599,17607,18435,19703,17532,18172,19532,18416,18832,16887,19128,17643,17181
1,13581,12562,12085,11735,13376,12431,12111,12951,13410,11956,12566,11752,12706,12638,13468,13400
0,4539,3048,1801,1603,4586,2891,1452,4756,3742,1662,3200,2166,6603,2333,4913,6239

Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
11,0,3,2,6,2,8,1,4,5,0,4,3,2,2,3,3
10,28,46,55,62,43,46,43,43,48,64,36,52,32,34,21,28
9,337,381,503,521,409,458,420,380,364,431,352,435,251,375,314,323
8,1632,1899,2259,2376,1717,2144,2120,1746,1713,2153,1884,2208,1451,1962,1445,1590
7,4667,5617,5931,6281,4823,5714,6003,4960,4994,6264,5397,6189,4413,5571,4415,4457
6,8229,9315,10087,10461,8295,9532,10529,8728,9027,10528,9574,10196,7996,9770,8448,7981
5,10090,10756,11227,11184,10133,10418,11545,9744,10367,11454,10603,10916,9516,10918,9995,9550
4,8637,8367,8511,8380,8369,8382,8539,8087,8566,8281,8310,8161,8117,8947,8386,8146
3,5945,5322,4886,4554,5773,5310,4718,5540,5527,4620,5432,4816,5573,5372,5760,5651
2,3610,2822,2374,2177,3466,2802,2203,3603,3398,2137,2966,2561,3584,2533,3701,3686
1,2388,1732,1209,1015,2304,1708,985,2248,2050,1032,1642,1329,2591,1274,2760,2715
0,2392,1487,531,501,2614,1199,427,2879,1788,570,1566,743,4604,901,2758,3954


Giant block

Primary,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,2,9,9,13,1,7,5,6,2,6,4,6,1,6,4,2
6,176,252,345,371,233,243,312,166,267,275,263,291,167,271,188,216
5,2324,2947,3331,3643,2514,3035,3378,2546,2723,3443,2816,3162,1985,2962,2098,2375
4,9109,10523,11493,12114,9368,10873,11872,9401,10033,12203,10285,11429,8426,10871,9030,9039
3,14386,15132,15894,15861,14085,15017,16224,14190,14576,16174,15347,15722,13453,15854,13867,13152
2,11866,11309,11053,10633,11611,11504,10830,11226,11624,10597,11410,10917,11414,11575,11529,11294
1,6581,5236,4202,3880,6296,5022,3953,6252,5848,3718,5301,4449,6580,4645,6639,6570
0,3513,2345,1257,1003,3852,2023,963,4182,2774,1117,2343,1654,6116,1478,4684,5451

Relay,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
6,1,4,6,5,6,12,0,4,2,5,1,6,8,4,4,3
